PoleID,CircuitID,Latitude,Longitude,Material,Height,InstallYear,AccessType,RiskZoneID
P_0000001,CKT_0074,39.946558,-120.149505,Steel,38,2004,Off-road,1
P_0000002,CKT_0085,39.924882,-120.113043,Steel,67,2001,Off-road,1
P_0000003,CKT_0125,39.881643,-119.977103,Wood,71,1992,Roadside,4
P_0000004,CKT_0059,39.968263,-119.954156,Wood,33,1981,Backyard,3
P_0000005,CKT_0062,42.948209,-116.910717,Wood,59,1985,Backyard,4
P_0000006,CKT_0118,42.860143,-116.943703,Steel,56,1981,Roadside,4
P_0000007,CKT_0027,39.950314,-119.961216,Wood,64,1968,Backyard,2
P_0000008,CKT_0148,41.985012,-117.947224,Composite,34,2014,Off-road,1
P_0000009,CKT_0132,42.197503,-118.004726,Wood,45,1977,Roadside,5
P_0000010,CKT_0121,42.061814,-118.05037,Wood,45,1973,Backyard,1
P_0000011,CKT_0008,42.944108,-116.962279,Composite,43,1994,Off-road,3
P_0000012,CKT_0036,40.139936,-119.907537,Steel,40,2003,Off-road,1
P_0000013,CKT_0094,40.140454,-120.160554,Wood,49,1971,Off-road,1
P_0000014,CKT_0113,42.008961,-118.118139,Steel,66,2008,Backyard,4
P_0000015,CKT_0040,41.889922,-118.07113,Composite,42,1969,Off-road,2
P_0000016,CKT_0051,39.711173,-119.970673,Wood,74,2014,Backyard,5
P_0000017,CKT_0109,40.094851,-119.996515,Wood,66,2015,Roadside,3
P_0000018,CKT_0024,42.958381,-117.118078,Composite,57,2007,Backyard,1
P_0000019,CKT_0108,43.030706,-117.01314,Composite,71,1986,Roadside,4
P_0000020,CKT_0137,43.029339,-117.007496,Steel,36,1992,Backyard,4
P_0000021,CKT_0085,39.934592,-120.183063,Composite,39,1992,Roadside,5
P_0000022,CKT_0050,40.005835,-120.074478,Composite,47,2004,Off-road,4
P_0000023,CKT_0150,41.953469,-118.010595,Steel,57,2017,Off-road,5
P_0000024,CKT_0143,42.921106,-117.047083,Steel,50,2019,Roadside,1
P_0000025,CKT_0045,42.844624,-116.918211,Steel,58,1980,Backyard,5
P_0000026,CKT_0038,43.202361,-116.99932,Composite,72,1989,Backyard,1
P_0000027,CKT_0063,40.0662,-119.946102,Steel,50,1976,Backyard,2
P_0000028,CKT_0008,43.013172,-117.089886,Steel,46,1986,Backyard,5
P_0000029,CKT_0061,40.062122,-120.016288,Composite,47,2000,Roadside,5
P_0000030,CKT_0122,43.017521,-116.701474,Wood,35,1980,Off-road,4
P_0000031,CKT_0051,40.176169,-120.028285,Steel,65,2013,Roadside,4
P_0000032,CKT_0135,41.896827,-117.888664,Composite,75,1996,Backyard,1
P_0000033,CKT_0034,39.829779,-120.046282,Wood,48,1979,Backyard,2
P_0000034,CKT_0121,41.936371,-118.092793,Steel,72,2002,Backyard,4
P_0000035,CKT_0091,43.113562,-117.110629,Composite,63,1987,Backyard,5
