OutageID,CircuitID,PoleID,StartDateKey,StartTime,EndDateKey,EndTime,CauseCode,WeatherEventType,CustomersAffected,MinutesOut,IsPlanned,IsWildfirePrevention
OUT_0000001,CKT_0128,P_0011579,20221125,23:06,20221125,04:32,TREES,Snow,96,29,False,False
OUT_0000002,CKT_0073,,20230304,00:27,20230304,05:55,OTHER,Wind,58,64,True,False
OUT_0000003,CKT_0135,P_0000650,20200401,20:39,20200401,05:17,EQUIP_FAIL,HeatWave,510,19,False,False
OUT_0000004,CKT_0004,P_0002208,20240808,14:25,20240808,03:43,EQUIP_FAIL,HeatWave,5,5,True,False
OUT_0000005,CKT_0078,,20211205,02:06,20211205,15:09,EQUIP_FAIL,Snow,181,59,False,False
OUT_0000006,CKT_0047,P_0004779,20230611,22:20,20230611,18:07,OTHER,Wind,183,80,False,False
OUT_0000007,CKT_0141,P_0010525,20211010,02:57,20211010,11:15,TREES,Wind,1,9,False,False
OUT_0000008,CKT_0066,P_0009516,20190513,14:46,20190513,04:45,TREES,Snow,235,99,False,False
OUT_0000009,CKT_0125,P_0006396,20191124,22:59,20191124,22:01,EQUIP_FAIL,None,229,129,False,False
OUT_0000010,CKT_0131,P_0012261,20190128,21:31,20190128,02:48,TREES,Storm,14,70,False,False
OUT_0000011,CKT_0032,,20231125,21:39,20231125,17:11,ANIMALS,HeatWave,52,44,False,False
OUT_0000012,CKT_0006,P_0000472,20190403,09:24,20190403,17:10,WEATHER,Storm,182,25,False,False
OUT_0000013,CKT_0067,,20190622,12:08,20190622,19:31,TREES,Wind,211,25,False,False
OUT_0000014,CKT_0102,P_0005568,20220605,22:57,20220605,21:40,EQUIP_FAIL,Storm,656,96,False,False
OUT_0000015,CKT_0024,P_0002662,20220715,22:10,20220715,06:57,FIRE_PREVENT,Wind,23,53,False,True
OUT_0000016,CKT_0128,P_0009676,20240114,13:12,20240114,14:55,TREES,Wind,414,59,False,False
OUT_0000017,CKT_0114,P_0014257,20240917,23:05,20240917,05:21,TREES,Snow,5,56,False,False
OUT_0000018,CKT_0149,P_0009164,20220601,16:49,20220601,15:52,TREES,Wind,100,122,False,False
OUT_0000019,CKT_0080,P_0005817,20230830,08:29,20230830,09:44,EQUIP_FAIL,HeatWave,807,200,True,False
OUT_0000020,CKT_0036,P_0005693,20210307,02:00,20210307,11:29,EQUIP_FAIL,Wind,174,203,False,False
OUT_0000021,CKT_0010,P_0003084,20220506,12:44,20220506,10:11,WEATHER,Wind,871,26,False,False
OUT_0000022,CKT_0128,,20210831,07:40,20210831,04:17,TREES,Snow,21,9,False,False
OUT_0000023,CKT_0021,P_0002619,20200213,07:17,20200213,23:23,TREES,Snow,85,20,False,False
OUT_0000024,CKT_0118,P_0011743,20220108,00:48,20220108,17:41,OTHER,Storm,19,37,False,False
OUT_0000025,CKT_0019,P_0011483,20211215,08:31,20211215,04:45,EQUIP_FAIL,Storm,143,13,False,False
OUT_0000026,CKT_0054,P_0000582,20190526,21:28,20190526,00:58,TREES,Storm,28,33,False,False
OUT_0000027,CKT_0049,P_0000652,20200926,00:06,20200926,22:27,TREES,Snow,233,5,False,False
OUT_0000028,CKT_0091,,20220217,06:42,20220217,14:28,TREES,Storm,1,14,False,False
OUT_0000029,CKT_0117,,20190115,17:59,20190115,15:10,TREES,Storm,971,209,False,False
OUT_0000030,CKT_0143,P_0008227,20240110,13:07,20240110,11:11,TREES,Wind,156,23,False,False
OUT_0000031,CKT_0029,,20211219,00:20,20211219,13:35,FIRE_PREVENT,Wind,36,10,False,True
OUT_0000032,CKT_0064,P_0010521,20200215,01:32,20200215,05:01,TREES,Snow,905,80,False,False
OUT_0000033,CKT_0121,,20221014,19:32,20221014,16:57,ANIMALS,None,925,30,False,False
OUT_0000034,CKT_0048,P_0007597,20240719,11:11,20240719,20:07,OTHER,HeatWave,141,5,False,False
OUT_0000035,CKT_0029,P_0012857,20190602,08:49,20190602,04:12,WEATHER,Snow,38,51,False,False
OUT_0000036,CKT_0025,P_0005421,20230516,18:05,20230516,06:03,WEATHER,Storm,80,9,False,False
OUT_0000037,CKT_0137,,20240301,18:00,20240301,05:20,EQUIP_FAIL,HeatWave,76,196,True,False
OUT_0000038,CKT_0145,P_0004754,20190316,05:10,20190316,15:38,TREES,Snow,5,16,False,False
OUT_0000039,CKT_0133,P_0010350,20220718,14:36,20220718,18:53,WEATHER,Storm,153,57,False,False
OUT_0000040,CKT_0006,P_0009369,20240317,22:51,20240317,23:42,EQUIP_FAIL,Storm,1371,230,False,False
OUT_0000041,CKT_0042,P_0009022,20200302,01:14,20200302,05:53,TREES,Storm,26,136,False,False
OUT_0000042,CKT_0050,P_0000144,20220426,20:29,20220426,15:41,TREES,Wind,463,97,False,False
OUT_0000043,CKT_0026,P_0007467,20210404,03:31,20210404,03:50,TREES,Snow,394,12,False,False
OUT_0000044,CKT_0117,P_0014747,20210708,10:09,20210708,09:24,FIRE_PREVENT,HeatWave,18,50,False,True
OUT_0000045,CKT_0142,P_0005590,20230423,11:52,20230423,18:10,EQUIP_FAIL,HeatWave,139,121,False,False
OUT_0000046,CKT_0132,,20210804,03:22,20210804,02:49,TREES,Storm,35,12,False,False
OUT_0000047,CKT_0010,P_0001065,20220609,13:58,20220609,12:02,ANIMALS,HeatWave,301,28,False,False
OUT_0000048,CKT_0066,P_0007088,20210509,22:29,20210509,22:18,ANIMALS,HeatWave,533,91,False,False
OUT_0000049,CKT_0135,P_0010421,20240825,03:23,20240825,18:57,OTHER,None,94,56,False,False
OUT_0000050,CKT_0030,P_0006513,20230416,07:30,20230416,04:44,EQUIP_FAIL,HeatWave,224,105,False,False
OUT_0000051,CKT_0035,P_0009635,20220208,00:48,20220208,03:09,WEATHER,Snow,13,91,False,False
OUT_0000052,CKT_0058,P_0007488,20211027,08:33,20211027,22:13,ANIMALS,HeatWave,36,64,False,False
OUT_0000053,CKT_0004,P_0002837,20200225,18:59,20200225,21:44,TREES,Wind,254,270,False,False
OUT_0000054,CKT_0019,P_0003921,20200321,02:21,20200321,09:42,OTHER,Snow,178,80,False,False
OUT_0000055,CKT_0022,,20221227,18:44,20221227,10:43,WEATHER,Snow,426,69,False,False
OUT_0000056,CKT_0145,P_0014470,20220414,15:05,20220414,18:19,FIRE_PREVENT,Storm,75,81,False,True
OUT_0000057,CKT_0015,P_0003434,20190513,01:02,20190513,14:05,FIRE_PREVENT,Snow,158,71,False,True
OUT_0000058,CKT_0139,P_0000601,20220205,22:47,20220205,01:14,TREES,Snow,135,244,False,False
OUT_0000059,CKT_0028,P_0001549,20221006,11:39,20221006,04:07,TREES,Wind,400,47,False,False
OUT_0000060,CKT_0014,P_0011507,20231216,10:48,20231216,20:05,EQUIP_FAIL,Wind,56,113,False,False
OUT_0000061,CKT_0052,P_0002959,20190605,13:26,20190605,07:52,EQUIP_FAIL,HeatWave,74,21,False,False
OUT_0000062,CKT_0096,,20190426,17:29,20190426,01:24,OTHER,Storm,15,147,False,False
OUT_0000063,CKT_0148,P_0005151,20201219,03:07,20201219,22:33,TREES,Wind,45,144,False,False
OUT_0000064,CKT_0034,,20230810,19:16,20230810,19:45,ANIMALS,Storm,445,81,False,False
OUT_0000065,CKT_0090,,20230116,10:42,20230116,18:21,ANIMALS,Snow,220,51,False,False
