TroubleCallID,OutageID,CircuitID,CallDateKey,CallTime,CallerType,CallChannel,CallDisposition
TC_0000001,OUT_0000001,CKT_0128,20221126,20:42,Industrial,Web,Duplicate
TC_0000002,OUT_0000001,CKT_0128,20221125,20:44,Industrial,MobileApp,OutageReported
TC_0000003,OUT_0000001,CKT_0128,20221125,02:45,Commercial,Phone,Duplicate
TC_0000004,OUT_0000002,CKT_0073,20230305,05:05,Commercial,Web,Duplicate
TC_0000005,OUT_0000002,CKT_0073,20230303,06:47,Industrial,MobileApp,OutageReported
TC_0000006,OUT_0000002,CKT_0073,20230305,15:25,Commercial,MobileApp,OutageReported
TC_0000007,OUT_0000003,CKT_0135,20200401,14:25,Residential,Phone,Duplicate
TC_0000008,OUT_0000003,CKT_0135,20200331,20:20,Residential,Phone,OutageReported
TC_0000009,OUT_0000003,CKT_0135,20200331,00:59,Industrial,Web,OutageReported
TC_0000010,OUT_0000003,CKT_0135,20200401,03:12,Industrial,Web,Duplicate
TC_0000011,OUT_0000004,CKT_0004,20240809,23:41,Commercial,Phone,OutageReported
TC_0000012,OUT_0000004,CKT_0004,20240808,02:44,Residential,Phone,Duplicate
TC_0000013,OUT_0000005,CKT_0078,20211206,07:19,Commercial,Web,OutageReported
TC_0000014,OUT_0000005,CKT_0078,20211205,15:46,Residential,MobileApp,OutageReported
TC_0000015,OUT_0000005,CKT_0078,20211204,06:50,Industrial,MobileApp,Duplicate
TC_0000016,OUT_0000006,CKT_0047,20230610,20:13,Industrial,MobileApp,OutageReported
TC_0000017,OUT_0000006,CKT_0047,20230610,18:38,Industrial,Phone,OutageReported
TC_0000018,OUT_0000006,CKT_0047,20230611,07:10,Residential,MobileApp,OutageReported
TC_0000019,OUT_0000007,CKT_0141,20211009,16:59,Industrial,Phone,Duplicate
TC_0000020,OUT_0000007,CKT_0141,20211011,08:16,Residential,MobileApp,Duplicate
TC_0000021,OUT_0000007,CKT_0141,20211009,13:58,Industrial,MobileApp,OutageReported
TC_0000022,OUT_0000009,CKT_0125,20191123,15:48,Residential,MobileApp,OutageReported
TC_0000023,OUT_0000011,CKT_0032,20231126,09:24,Residential,Web,OutageReported
TC_0000024,OUT_0000011,CKT_0032,20231125,15:05,Commercial,Phone,OutageReported
TC_0000025,OUT_0000011,CKT_0032,20231125,21:54,Residential,Phone,OutageReported
TC_0000026,OUT_0000012,CKT_0006,20190402,15:41,Residential,Phone,OutageReported
TC_0000027,OUT_0000012,CKT_0006,20190403,13:36,Commercial,Web,OutageReported
TC_0000028,OUT_0000013,CKT_0067,20190622,12:57,Industrial,Web,OutageReported
TC_0000029,OUT_0000015,CKT_0024,20220715,05:43,Commercial,Web,OutageReported
TC_0000030,OUT_0000015,CKT_0024,20220716,20:03,Commercial,Phone,OutageReported
TC_0000031,OUT_0000015,CKT_0024,20220716,05:46,Residential,Phone,OutageReported
TC_0000032,OUT_0000018,CKT_0149,20220531,00:38,Industrial,MobileApp,Duplicate
TC_0000033,OUT_0000018,CKT_0149,20220602,19:13,Industrial,Web,Duplicate
TC_0000034,OUT_0000018,CKT_0149,20220601,15:19,Commercial,Phone,Duplicate
TC_0000035,OUT_0000019,CKT_0080,20230829,17:33,Residential,MobileApp,Duplicate
TC_0000036,OUT_0000019,CKT_0080,20230829,16:19,Commercial,MobileApp,OutageReported
TC_0000037,OUT_0000019,CKT_0080,20230831,16:44,Industrial,MobileApp,OutageReported
TC_0000038,OUT_0000020,CKT_0036,20210306,01:56,Commercial,Phone,OutageReported
TC_0000039,OUT_0000020,CKT_0036,20210308,14:07,Industrial,Phone,InfoOnly
TC_0000040,OUT_0000020,CKT_0036,20210307,16:33,Industrial,Web,OutageReported
TC_0000041,OUT_0000022,CKT_0128,20210901,17:53,Residential,Phone,OutageReported
TC_0000042,OUT_0000022,CKT_0128,20210830,05:01,Residential,Web,OutageReported
TC_0000043,OUT_0000022,CKT_0128,20210831,07:39,Commercial,Web,Duplicate
TC_0000044,OUT_0000022,CKT_0128,20210831,00:11,Industrial,Web,Duplicate
TC_0000045,OUT_0000022,CKT_0128,20210831,10:43,Commercial,Phone,OutageReported
TC_0000046,OUT_0000022,CKT_0128,20210830,13:34,Industrial,Phone,OutageReported
TC_0000047,OUT_0000023,CKT_0021,20200212,09:26,Industrial,MobileApp,OutageReported
TC_0000048,OUT_0000024,CKT_0118,20220109,17:51,Commercial,Web,InfoOnly
