WorkOrderID,PoleID,CircuitID,WorkDateKey,WorkType,SpanFeetTreated,CostUSD,ContractorName
WO_00000001,P_0003781,CKT_0019,20240802,Patrol,53.5,444.13,ClearPath
WO_00000002,P_0003743,CKT_0095,20230602,Trim,48.9,550.02,ClearPath
WO_00000003,P_0006477,CKT_0052,20211224,Mow,43.5,581.35,TreeCo
WO_00000004,P_0009322,CKT_0131,20230110,Trim,119.3,1986.03,TreeCo
WO_00000005,P_0008848,CKT_0079,20200822,Patrol,88.3,1482.59,ClearPath
WO_00000006,P_0004609,CKT_0050,20220315,Remove,47.8,754.48,SafeSpan
WO_00000007,P_0003169,CKT_0073,20200616,Patrol,48.0,529.52,ClearPath
WO_00000008,P_0010786,CKT_0075,20240409,Mow,119.9,1431.7,GreenLine
WO_00000009,P_0012438,CKT_0102,20200202,Remove,162.1,3075.51,GreenLine
WO_00000010,P_0009386,CKT_0107,20220920,Patrol,99.7,1730.14,TreeCo
WO_00000011,P_0000369,CKT_0106,20191010,Remove,94.0,913.1,GreenLine
WO_00000012,P_0000697,CKT_0146,20230204,Remove,88.8,857.02,ClearPath
WO_00000013,P_0001276,CKT_0140,20190615,Remove,68.1,844.4,ClearPath
WO_00000014,P_0012627,CKT_0127,20221121,Mow,65.9,1079.66,ClearPath
WO_00000015,P_0008543,CKT_0068,20221116,Mow,119.4,1235.12,TreeCo
WO_00000016,P_0003173,CKT_0061,20210416,Trim,71.3,1385.0,SafeSpan
WO_00000017,P_0004601,CKT_0024,20200503,Mow,77.2,864.62,SafeSpan
WO_00000018,P_0006551,CKT_0113,20200606,Patrol,83.7,815.16,ClearPath
WO_00000019,P_0003172,CKT_0014,20210315,Remove,106.3,2093.28,GreenLine
WO_00000020,P_0002571,CKT_0031,20220316,Remove,41.9,477.52,TreeCo
WO_00000021,P_0011082,CKT_0067,20200414,Patrol,92.1,1275.95,SafeSpan
WO_00000022,P_0009335,CKT_0069,20200206,Remove,95.7,1344.28,ClearPath
WO_00000023,P_0006825,CKT_0123,20240329,Trim,35.9,344.08,TreeCo
WO_00000024,P_0005149,CKT_0079,20240103,Patrol,86.7,1519.67,SafeSpan
WO_00000025,P_0013689,CKT_0123,20210206,Remove,16.7,240.34,ClearPath
WO_00000026,P_0005061,CKT_0136,20241201,Remove,107.7,880.7,SafeSpan
WO_00000027,P_0013150,CKT_0107,20201213,Mow,117.5,2109.04,GreenLine
WO_00000028,P_0006872,CKT_0094,20191024,Patrol,46.4,590.67,SafeSpan
WO_00000029,P_0002282,CKT_0073,20210425,Trim,52.1,685.78,ClearPath
WO_00000030,P_0014975,CKT_0052,20221027,Trim,49.1,635.14,TreeCo
WO_00000031,P_0009837,CKT_0109,20190831,Mow,58.5,858.47,GreenLine
WO_00000032,P_0007521,CKT_0065,20191231,Remove,62.2,952.01,ClearPath
WO_00000033,P_0002360,CKT_0081,20200909,Patrol,79.2,650.63,TreeCo
WO_00000034,P_0003770,CKT_0007,20211209,Trim,44.1,522.84,SafeSpan
WO_00000035,P_0000211,CKT_0140,20221019,Mow,71.7,1052.16,GreenLine
WO_00000036,P_0000398,CKT_0104,20230913,Trim,65.4,584.76,TreeCo
WO_00000037,P_0007501,CKT_0137,20241129,Remove,92.5,1623.83,SafeSpan
