InspectionID,PoleID,CircuitID,InspectionDateKey,TreeClearanceFeet,HazardTreeFlag,PriorityCode,ComplianceFlag
INSP_00000001,P_0000001,CKT_0074,20220415,4.56,False,P3,True
INSP_00000002,P_0000001,CKT_0074,20191110,9.58,False,P3,True
INSP_00000003,P_0000002,CKT_0085,20211101,6.34,False,P3,True
INSP_00000004,P_0000002,CKT_0085,20240422,5.91,False,P4,True
INSP_00000005,P_0000003,CKT_0125,20240921,4.53,False,P3,True
INSP_00000006,P_0000003,CKT_0125,20230210,11.23,False,P3,True
INSP_00000007,P_0000004,CKT_0059,20190228,6.42,False,P3,True
INSP_00000008,P_0000004,CKT_0059,20241107,8.38,True,P1,False
INSP_00000009,P_0000005,CKT_0062,20200313,9.6,False,P4,True
INSP_00000010,P_0000005,CKT_0062,20220324,1.33,True,P1,False
INSP_00000011,P_0000006,CKT_0118,20210410,0.0,True,P2,False
INSP_00000012,P_0000006,CKT_0118,20210210,0.59,True,P2,False
INSP_00000013,P_0000007,CKT_0027,20210924,2.39,True,P1,False
INSP_00000014,P_0000007,CKT_0027,20240628,8.1,False,P3,True
INSP_00000015,P_0000008,CKT_0148,20241121,7.21,False,P3,True
INSP_00000016,P_0000008,CKT_0148,20210404,6.68,False,P4,True
INSP_00000017,P_0000009,CKT_0132,20191207,7.05,True,P2,False
INSP_00000018,P_0000009,CKT_0132,20190302,6.43,False,P4,True
INSP_00000019,P_0000010,CKT_0121,20231113,4.64,False,P4,True
INSP_00000020,P_0000010,CKT_0121,20200618,2.2,True,P2,False
INSP_00000021,P_0000011,CKT_0008,20191016,6.54,False,P3,True
INSP_00000022,P_0000011,CKT_0008,20210312,2.34,True,P1,False
INSP_00000023,P_0000012,CKT_0036,20190811,2.82,True,P1,False
INSP_00000024,P_0000012,CKT_0036,20220822,8.06,False,P4,True
INSP_00000025,P_0000013,CKT_0094,20210507,7.14,False,P3,True
INSP_00000026,P_0000013,CKT_0094,20200313,8.02,False,P3,True
INSP_00000027,P_0000014,CKT_0113,20191017,2.95,True,P1,False
INSP_00000028,P_0000014,CKT_0113,20211225,6.12,False,P3,True
INSP_00000029,P_0000015,CKT_0040,20230509,5.0,False,P3,True
INSP_00000030,P_0000015,CKT_0040,20191201,5.26,False,P4,True
INSP_00000031,P_0000016,CKT_0051,20220527,5.82,False,P3,True
INSP_00000032,P_0000016,CKT_0051,20210916,3.72,False,P3,False
INSP_00000033,P_0000017,CKT_0109,20201112,7.5,False,P3,True
INSP_00000034,P_0000017,CKT_0109,20241210,0.75,True,P2,False
INSP_00000035,P_0000018,CKT_0024,20200627,4.18,False,P3,True
INSP_00000036,P_0000018,CKT_0024,20230412,5.17,False,P4,True
INSP_00000037,P_0000019,CKT_0108,20230128,7.94,False,P3,True
INSP_00000038,P_0000019,CKT_0108,20220220,9.9,False,P3,True
INSP_00000039,P_0000020,CKT_0137,20190906,6.77,False,P4,True
INSP_00000040,P_0000020,CKT_0137,20240204,7.53,False,P3,True
INSP_00000041,P_0000021,CKT_0085,20241006,7.7,False,P3,True
INSP_00000042,P_0000021,CKT_0085,20200810,5.6,False,P3,True
INSP_00000043,P_0000022,CKT_0050,20220211,6.27,False,P3,True
INSP_00000044,P_0000022,CKT_0050,20201003,7.25,False,P3,True
INSP_00000045,P_0000023,CKT_0150,20220815,7.93,False,P4,True
INSP_00000046,P_0000023,CKT_0150,20210912,11.34,False,P3,True
INSP_00000047,P_0000024,CKT_0143,20190302,0.67,True,P1,False
INSP_00000048,P_0000024,CKT_0143,20220323,5.24,False,P4,True
INSP_00000049,P_0000025,CKT_0045,20200718,4.38,False,P3,True
INSP_00000050,P_0000025,CKT_0045,20220714,5.35,False,P3,True
INSP_00000051,P_0000026,CKT_0038,20210825,5.92,False,P3,True
INSP_00000052,P_0000026,CKT_0038,20231107,5.04,False,P3,True
INSP_00000053,P_0000027,CKT_0063,20210711,3.39,False,P3,False
INSP_00000054,P_0000027,CKT_0063,20210718,12.91,False,P3,True
INSP_00000055,P_0000028,CKT_0008,20230202,9.55,False,P3,True
INSP_00000056,P_0000028,CKT_0008,20200803,6.11,False,P3,True
INSP_00000057,P_0000029,CKT_0061,20191119,2.11,True,P1,False
INSP_00000058,P_0000029,CKT_0061,20211027,9.96,False,P4,True
INSP_00000059,P_0000030,CKT_0122,20230218,8.51,False,P4,True
INSP_00000060,P_0000030,CKT_0122,20190409,3.87,True,P2,False
INSP_00000061,P_0000031,CKT_0051,20240804,6.67,False,P4,True
INSP_00000062,P_0000031,CKT_0051,20210406,11.4,False,P4,True
INSP_00000063,P_0000032,CKT_0135,20241206,6.79,False,P4,True
INSP_00000064,P_0000032,CKT_0135,20200204,3.27,True,P2,False
INSP_00000065,P_0000033,CKT_0034,20190608,7.24,False,P3,True
INSP_00000066,P_0000033,CKT_0034,20220428,3.58,False,P4,False
INSP_00000067,P_0000034,CKT_0121,20230621,5.61,False,P3,True
INSP_00000068,P_0000034,CKT_0121,20191129,0.0,True,P1,False
INSP_00000069,P_0000035,CKT_0091,20240118,3.53,False,P4,False
INSP_00000070,P_0000035,CKT_0091,20200212,4.49,True,P2,False
INSP_00000071,P_0000036,CKT_0083,20191214,4.53,False,P4,True
INSP_00000072,P_0000036,CKT_0083,20210530,1.81,True,P2,False
INSP_00000073,P_0000037,CKT_0029,20230110,5.78,False,P3,True
INSP_00000074,P_0000037,CKT_0029,20241108,10.5,False,P3,True
INSP_00000075,P_0000038,CKT_0040,20230725,6.92,False,P4,True
INSP_00000076,P_0000038,CKT_0040,20220825,8.18,False,P4,True
INSP_00000077,P_0000039,CKT_0071,20240521,5.63,False,P3,True
INSP_00000078,P_0000039,CKT_0071,20220403,7.12,False,P4,True
INSP_00000079,P_0000040,CKT_0087,20220614,6.49,False,P4,True
INSP_00000080,P_0000040,CKT_0087,20220426,12.16,False,P4,True
INSP_00000081,P_0000041,CKT_0133,20211025,8.43,False,P4,True
INSP_00000082,P_0000041,CKT_0133,20240415,7.84,True,P1,False
INSP_00000083,P_0000042,CKT_0004,20210913,4.88,False,P3,True
INSP_00000084,P_0000042,CKT_0004,20190116,5.88,False,P3,True
INSP_00000085,P_0000043,CKT_0133,20220208,9.66,False,P3,True
INSP_00000086,P_0000043,CKT_0133,20230215,4.54,False,P3,True
INSP_00000087,P_0000044,CKT_0073,20221126,3.41,False,P3,False
INSP_00000088,P_0000044,CKT_0073,20200110,8.14,False,P3,True
INSP_00000089,P_0000045,CKT_0080,20240914,7.67,False,P3,True
INSP_00000090,P_0000045,CKT_0080,20210703,9.72,False,P3,True
INSP_00000091,P_0000046,CKT_0044,20190808,10.16,False,P4,True
INSP_00000092,P_0000046,CKT_0044,20221106,4.33,False,P4,True
INSP_00000093,P_0000047,CKT_0091,20230928,5.85,False,P3,True
INSP_00000094,P_0000047,CKT_0091,20240928,4.35,False,P3,True
INSP_00000095,P_0000048,CKT_0017,20230226,5.09,False,P3,True
INSP_00000096,P_0000048,CKT_0017,20190608,0.14,True,P2,False
INSP_00000097,P_0000049,CKT_0113,20210906,6.59,False,P3,True
INSP_00000098,P_0000049,CKT_0113,20220901,4.63,False,P3,True
INSP_00000099,P_0000050,CKT_0076,20240731,5.99,False,P3,True
INSP_00000100,P_0000050,CKT_0076,20220321,1.26,True,P1,False
INSP_00000101,P_0000051,CKT_0116,20230505,0.09,True,P2,False
INSP_00000102,P_0000051,CKT_0116,20241119,3.06,False,P3,False
INSP_00000103,P_0000052,CKT_0008,20240720,5.45,False,P3,True
INSP_00000104,P_0000052,CKT_0008,20211021,8.72,False,P3,True
INSP_00000105,P_0000053,CKT_0112,20240427,7.43,False,P4,True
INSP_00000106,P_0000053,CKT_0112,20230314,4.96,False,P3,True
INSP_00000107,P_0000054,CKT_0145,20240617,2.0,True,P2,False
INSP_00000108,P_0000054,CKT_0145,20231203,10.64,False,P4,True
